seqname	start	end	gene_symbol
chr1	9352953	9429591	SPSB1
chr1	9481157	9482921	BX323043.1
chr1	9485153	9500623	LINC02606
chr1	9497728	9497837	RNA5SP40
chr1	9561151	9563530	AL928921.1
chr1	9599524	9645231	SLC25A33
chr1	9636485	9637043	AL954705.1
chr1	9648969	9674935	TMEM201
chr1	9711790	9789172	PIK3CD
chr1	9712668	9714644	PIK3CD-AS1
chr1	9720886	9722684	AL691449.1
chr1	9732484	9747613	PIK3CD-AS2
chr1	9789084	9884584	CLSTN1
chr1	9840880	9841298	MZT1P1
chr1	9886347	9888329	AL357140.3
chr1	9908334	9970394	CTNNBIP1
chr1	9908376	9910212	AL357140.1
chr1	9960672	9968092	AL357140.4
chr1	9982171	10003465	LZIC
chr1	10002981	10010032	AL357140.2
chr1	10003486	10045559	NMNAT1
chr1	10007376	10007694	RN7SKP269
chr1	10010630	10020845	TMEM274P
chr1	10027439	10027516	MIR5697
chr1	10043199	10044626	AL603962.1
chr1	10057264	10076079	RBP7
chr1	10078085	10078592	AL590639.1
chr1	10092890	10241297	UBE4B
chr1	10114503	10114839	AL590639.1
chr1	10118729	10119706	PGAM1P11
chr1	10223326	10223432	RNU6-828P
chr1	10270863	10441661	KIF1B
chr1	10287776	10287861	MIR1273D
chr1	10359024	10359130	RNU6-37P
chr1	10366523	10366813	RN7SL731P
chr1	10441964	10447207	AL139424.3
chr1	10450059	10450353	RN7SL721P
chr1	10455473	10457489	AL139424.2
chr1	10458649	10480568	PGD
chr1	10489938	10490734	AL139424.1
chr1	10490159	10512210	CENPS-CORT
chr1	10490490	10502865	CENPS
chr1	10509776	10511959	CORT
chr1	10516579	10532586	DFFA
chr1	10518612	10519395	AL354956.1
chr1	10532345	10690815	PEX14
chr1	10672279	10676509	AL139423.2
chr1	10676893	10677170	RN7SL614P
chr1	10696661	10856707	CASZ1
chr1	10699298	10714390	AL139423.1
chr1	10955818	10956055	HSPE1P24
chr1	11006528	11042094	C1orf127
chr1	11051035	11051854	CFL1P6
chr1	11058233	11058320	AL713997.1
chr1	11059919	11060002	Y_RNA
chr1	11072401	11086477	TARDBP
chr1	11072719	11090585	AL109811.3
chr1	11086580	11107290	MASP2
chr1	11089716	11090585	AL109811.2
chr1	11114641	11120077	SRM
chr1	11126675	11159926	EXOSC10
chr1	11128528	11133154	AL109811.1
chr1	11159732	11162157	EXOSC10-AS1
chr1	11166592	11322564	MTOR
chr1	11203955	11209594	MTOR-AS1
chr1	11212407	11212509	RNU6-537P
chr1	11229564	11229670	snoU13
chr1	11249412	11256038	ANGPTL7
chr1	11286311	11286417	RNU6-291P
chr1	11293020	11293169	RPL39P6
chr1	11333263	11356106	UBIAD1
chr1	11338673	11339408	UBE2V2P3
chr1	11371791	11379150	AL031291.1
chr1	11485314	11485878	MTCYBP45
chr1	11539212	11597608	DISP3
chr1	11560860	11562073	AL590989.1
chr1	11669525	11673415	LINC01647
chr1	11683615	11703473	AL031731.1
chr1	11697075	11715842	FBXO2
chr1	11714432	11723384	FBXO44
chr1	11724257	11734411	FBXO6
chr1	11734537	11751707	MAD2L2
chr1	11751767	11785914	DRAXIN
chr1	11796141	11814859	AGTRAP
chr1	11821844	11849642	C1orf167
chr1	11837134	11839676	AL953897.1
chr1	11845780	11866977	MTHFR
chr1	11866153	11908136	CLCN6
chr1	11905766	11908402	NPPA
chr1	11917521	11919002	NPPB
chr1	11937827	11940463	AL021155.1
chr1	11967997	11974355	AL021155.2
chr1	11968209	11968328	RNU5E-1
chr1	11969865	11969984	RNU5E-4P
chr1	11979648	11986485	KIAA2013
chr1	11994262	12035595	PLOD1
chr1	12039590	12040184	AL096840.2
chr1	12040238	12073571	MFN2
chr1	12077273	12077365	AL096840.1
chr1	12079523	12092102	MIIP
chr1	12084069	12084181	Y_RNA
chr1	12096799	12097071	RN7SL649P
chr1	12123360	12204264	TNFRSF8
chr1	12137938	12138041	RNU6-777P
chr1	12140350	12140604	RPL23AP89
chr1	12148498	12152321	AL357835.1
chr1	12227048	12269285	TNFRSF1B
chr1	12251770	12251830	MIR4632
chr1	12280851	12281166	RPL10P17
chr1	12281205	12281328	SNORA70
chr1	12290087	12572099	VPS13D
chr1	12567300	12567451	SNORA59A
chr1	12587766	12588462	AC243836.1
chr1	12627939	12678216	DHRS3
chr1	12630000	12630100	RNU6ATAC18P
chr1	12678906	12679250	AC254633.1
chr1	12704566	12727097	AADACL4
chr1	12752925	12753036	AC244670.1
chr1	12776113	12788727	AADACL3
chr1	12799693	12799796	snoU13
chr1	12806148	12823847	C1orf158
chr1	12834984	12838049	PRAMEF12
chr1	12851546	12856777	PRAMEF1
chr1	12882549	12883022	LINC01784
chr1	12884468	12891264	PRAMEF11
chr1	12897978	12901210	PRAMEF30P
chr1	12907261	12908578	HNRNPCL1
chr1	12916941	12921764	PRAMEF2
chr1	12939045	12946025	PRAMEF4
chr1	12952727	12958101	PRAMEF10
chr1	12976430	12980302	PRAMEF7
chr1	12982374	12982480	RNU6-1072P
chr1	12985990	12988081	PRAMEF29P
chr1	12998302	13007406	PRAMEF6
chr1	13012966	13015755	RP11-450I1.4
chr1	13035543	13038381	PRAMEF22
chr1	13052394	13052998	WI2-3308P17.2
chr1	13108842	13112679	PRAMEF23
chr1	13123246	13126086	RP13-221M14.6
chr1	13140456	13145000	PRAMEF25
chr1	13146777	13147256	RP13-221M14.2
chr1	13162645	13165443	RP13-221M14.3
chr1	13162650	13165443	PRAMEF34P
chr1	13171871	13173157	PRAMEF35P
chr1	13182968	13184326	HNRNPCL2
chr1	13182991	13183872	HNRNPCL4
chr1	13216356	13219581	PRAMEF26
chr1	13328196	13331692	PRAMEF3
chr1	13351482	13354323	RP11-248D7.2
chr1	13359819	13369057	PRAMEF5
chr1	13379149	13381237	PRAMEF32P
chr1	13384735	13384841	RNU6-771P
chr1	13386646	13390765	PRAMEF8
chr1	13411551	13414482	RP11-219C24.6
chr1	13421176	13428191	PRAMEF9
chr1	13429634	13430113	RP11-219C24.10
chr1	13447556	13452656	PRAMEF13
chr1	13448050	13450861	PRAMEF28P
chr1	13474689	13477522	PRAMEF18
chr1	13495254	13498260	PRAMEF16
chr1	13516066	13526943	PRAMEF21
chr1	13607431	13611550	XX-FW84067D5.1
chr1	13632348	13635279	XX-FW84067D5.2
chr1	13641973	13648988	PRAMEF15
chr1	13668411	13673511	PRAMEF14
chr1	13695525	13698358	PRAMEF19
chr1	13716092	13719089	PRAMEF17
chr1	13736907	13747803	PRAMEF20
chr1	13801441	13840498	LRRC38
chr1	13839715	13842765	AL354712.1
chr1	13881496	13882189	BRWD1P1
chr1	13909960	13944452	PDPN
chr1	13949679	13949779	RNA5SP41
chr1	13950397	13950497	AL359771.1
chr1	13983806	13986405	AL359771.1
chr1	14022565	14022694	SCARNA11
chr1	14026693	14151574	PRDM2
chr1	14219287	15444539	KAZN
chr1	14450728	14450830	RNU6-1265P
chr1	14548382	14630940	AL357873.1
chr1	14665320	14746469	KAZN-AS1
chr1	15018625	15019109	TBCAP2
chr1	15100965	15104223	AL031293.1
chr1	15438311	15480114	TMEM51-AS1
chr1	15479028	15546974	TMEM51
chr1	15490840	15497813	C1orf195
chr1	15518324	15519341	AL035405.1
chr1	15552869	15554045	AL391094.1
chr1	15573768	15726779	FHAD1
chr1	15653176	15670372	AL031283.2
chr1	15660662	15661960	AL031283.3
chr1	15729475	15735929	AL031283.1
chr1	15736384	15756835	EFHD2
chr1	15764935	15775737	CTRC
chr1	15783223	15798586	CELA2A
chr1	15792404	15817895	CELA2B
chr1	15817327	15853029	CASP9
chr1	15853308	15918874	DNAJC16
chr1	15868660	15868799	SCARNA21
chr1	15892106	15892451	AL121992.3
chr1	15898194	15911546	AGMAT
chr1	15912631	15930121	AL121992.1
chr1	15931092	15931538	CHCHD2P6
chr1	15934573	15934640	RNU7-179P
chr1	15941138	15941362	CD24P1
chr1	15943953	15995539	DDI2
chr1	15986364	15988217	RSC1A1
chr1	16009368	16009623	AL121992.2
chr1	16010815	16061264	PLEKHM2
chr1	16010967	16011053	AL121992.1
chr1	16046807	16063391	AL450998.3
chr1	16062753	16067887	SLC25A34
chr1	16066546	16076391	SLC25A34-AS1
chr1	16068994	16074477	TMEM82
chr1	16083102	16113089	FBLIM1
chr1	16119291	16119780	RPL12P14
chr1	16133664	16135843	UQCRHL
chr1	16154727	16155164	AL450998.1
chr1	16160969	16174642	AL450998.2
chr1	16174202	16266951	SPEN
chr1	16237392	16237492	snoU13
chr1	16244193	16244403	AL034555.1
chr1	16268364	16302627	ZBTB17
chr1	16296127	16296689	AL355994.4
chr1	16314677	16314936	AL355994.1
chr1	16315635	16315870	AL355994.5
chr1	16316366	16321246	TBC1D3P6
chr1	16330731	16335302	SRARP
chr1	16332655	16333166	AL355994.3
chr1	16340523	16346089	HSPB7
chr1	16345370	16360545	CLCNKA
chr1	16361673	16366524	AL355994.2
chr1	16370231	16383803	CLCNKB
chr1	16384264	16400146	FAM131C
chr1	16450832	16482564	EPHA2
chr1	16481706	16483824	AL451042.2
chr1	16485761	16488378	AL451042.1
chr1	16524349	16524852	ARHGEF19-AS1
chr1	16524349	16539147	ARHGEF19
chr1	16542404	16554522	ANO7L1
chr1	16555368	16556038	C1orf134
chr1	16558187	16563678	CPLANE2
chr1	16567708	16567893	MT1XP1
chr1	16573335	16678975	FBXO42
chr1	16679070	16724640	SZRD1
chr1	16695645	16696025	RPL22P3
chr1	16713612	16763919	SPATA21
chr1	16767216	16786573	NECAP2
chr1	16787443	16794976	LINC01772
chr1	16793931	16825752	CROCCP3
chr1	16840617	16840780	RNU1-1
chr1	16841140	16842249	AL137802.2
chr1	16841529	16848283	AL137802.3
chr1	16847189	16848291	AL137802.1
chr1	16860381	16862667	LINC01783
chr1	16865561	16866070	AL355149.2
chr1	16875146	16879026	AL355149.1
chr1	16875409	16875482	AL355149.1
chr1	16888814	16940057	NBPF1
chr1	16943886	16944224	AL137798.1
chr1	16944748	16983727	CROCCP2
chr1	16969262	16969604	AL137798.3
chr1	16972117	16976784	MST1P2
chr1	16983374	16994019	AL137798.2
chr1	16993280	16993443	RNU1-3
chr1	16999498	17000007	AL137798.1
chr1	17007750	17007823	AL021920.1
chr1	17012116	17012550	EIF1AXP1
chr1	17013834	17046652	ESPNP
chr1	17028041	17032089	AL021920.1
chr1	17060447	17060956	AL021920.2
chr1	17066433	17077084	AL021920.3
chr1	17066768	17299459	CROCC
chr1	17066775	17077463	CROCCP4
chr1	17067011	17067174	RNU1-4
chr1	17081405	17096732	MST1L
chr1	17177752	17179624	BX284668.1
chr1	17181902	17185779	BX284668.3
chr1	17185444	17185516	MIR3675
chr1	17197440	17210154	BX284668.2
chr1	17214072	17216201	BX284668.5
chr1	17215590	17216097	BX284668.4
chr1	17222475	17222638	RNU1-2
chr1	17230834	17231271	BX284668.6
chr1	17300997	17307330	MFAP2
chr1	17302797	17304287	AL049569.2
chr1	17305421	17331586	AL049569.1
chr1	17312453	17338423	ATP13A2
chr1	17345217	17380665	SDHB
chr1	17393256	17445946	PADI2
chr1	17484692	17484779	Y_RNA
chr1	17516278	17524112	AL590644.1
chr1	17519727	17528228	AL590644.3
chr1	17531623	17572502	PADI1
chr1	17575593	17610728	PADI3
chr1	17604384	17604470	MIR3972
chr1	17634690	17690499	PADI4
chr1	17655507	17676070	AC004824.2
chr1	17698691	17728195	PADI6
chr1	17733256	17733878	RCC2-AS1
chr1	17733256	17766173	RCC2
chr1	17740127	17740190	AC004824.1
chr1	17776259	17776359	snoU13
chr1	17866193	18024369	ARHGEF10L
chr1	18044120	18076473	AL136529.1
chr1	18081828	18153558	ACTL8
chr1	18342206	18372106	AL357509.1
chr1	18392151	18400906	LINC01654
chr1	18434292	18704977	IGSF21
chr1	18435883	18442355	AL365209.1
chr1	18493423	18505840	IGSF21-AS1
chr1	18712323	18715008	AL591896.1
chr1	18807476	18812620	KLHDC7A
chr1	18839612	18839877	DYNLL1P3
chr1	18921908	18922130	AL031737.1
chr1	18957340	19075360	PAX7
chr1	19166093	19186176	TAS1R2
chr1	19175767	19247615	RP13-279N23.2
chr1	19197924	19229218	ALDH4A1
chr1	19209696	19209769	MIR4695
chr1	19223565	19223642	MIR1290
chr1	19230774	19283170	IFFO2
chr1	19398604	19402005	AL137127.1
chr1	19401004	19536760	UBR4
chr1	19410046	19410145	AL137127.1
chr1	19536995	19567198	EMC1-AS1
chr1	19542154	19578021	EMC1
chr1	19578299	19586622	MRTO4
chr1	19587015	19588801	AL035413.2
chr1	19592476	19600688	AKR7L
chr1	19609067	19615264	AKR7A3
chr1	19623574	19624397	AL035413.1
chr1	19630459	19638640	AKR7A2
chr1	19631570	19631676	RNU6-1099P
chr1	19638820	19655794	PQLC2
chr1	19646299	19646554	RN7SL85P
chr1	19665269	19812033	CAPZB
chr1	19750878	19751163	RN7SL277P
chr1	19810897	19956315	MICOS10
chr1	19837087	19837227	RNU4-28P
chr1	19858664	19858768	snoU13
chr1	19918296	19923326	AL031727.2
chr1	19923473	19984949	NBL1
chr1	19923561	19983420	MICOS10-NBL1
chr1	19934608	19935062	AL031727.1
chr1	19991368	20007459	HTR6
chr1	20008706	20126438	TMCO4
chr1	20140522	20141776	RNF186
chr1	20140860	20145995	AL391883.1
chr1	20208888	20239438	OTUD3
chr1	20246502	20250110	PLA2G2E
chr1	20297462	20297760	RN7SL304P
chr1	20301924	20306909	PLA2G2A
chr1	20354672	20418404	PLA2G5
chr1	20438432	20446059	PLA2G2D
chr1	20465819	20476879	PLA2G2F
chr1	20480664	20487061	Z98257.1
chr1	20487746	20503917	PLA2G2C
chr1	20510735	20512979	UBXN10-AS1
chr1	20512589	20522543	UBXN10
chr1	20569588	20571157	LINC01757
chr1	20598511	20601498	Z98257.2
chr1	20617412	20681387	VWA5B1
chr1	20620704	20649680	AL020998.1
chr1	20687072	20757727	LINC01141
chr1	20738797	20739746	AL139254.1
chr1	20802715	20805430	AL139254.2
chr1	20805272	20806890	AL139254.3
chr1	20808884	20812703	CAMK2N1
chr1	20825941	20834644	MUL1
chr1	20852482	20853244	RPS4XP4
chr1	20879066	20881513	FAM43B
chr1	20915579	20945396	CDA
chr1	20959951	20978004	PINK1
chr1	20969150	20978686	PINK1-AS
chr1	20976856	20977207	AL391357.1
chr1	20978260	20988037	DDOST
chr1	20990507	21044510	KIF17
chr1	21019227	21020506	AL663074.2
chr1	21046224	21059330	SH2D5
chr1	21059373	21060445	AL663074.1
chr1	21069172	21113816	HP1BP3
chr1	21069480	21070455	RP5-930J4.4
chr1	21132785	21503381	EIF4G3
chr1	21167734	21167795	RNU7-200P
chr1	21314807	21314925	MIR1256
chr1	21330043	21330427	RPS15AP6
chr1	21400132	21400246	AL627311.1
chr1	21487968	21488574	HSPE1P27
chr1	21503059	21503122	AL031005.1
chr1	21503547	21504657	AL031005.2
chr1	21543740	21672065	ECE1
chr1	21592575	21593744	AL031005.1
chr1	21619783	21626367	AL031728.1
chr1	21724480	21724855	PPP1R11P1
chr1	21737953	21739786	AL592309.1
chr1	21742391	21743985	AL592309.2
chr1	21751118	21754460	NBPF2P
chr1	21754796	21756029	HS6ST1P1
chr1	21760811	21764051	CROCCP5
chr1	21766621	21811498	NBPF3
chr1	21786249	21786575	PFN1P10
chr1	21835890	21904903	ALPL
chr1	21912965	21917680	LINC02596
chr1	21918904	21919041	AL359815.1
chr1	21922708	21995856	RAP1GAP
chr1	22004791	22110099	USP48
chr1	22094762	22095068	AL590103.1
chr1	22138758	22151714	LDLRAD2
chr1	22148737	22263803	HSPG2
chr1	22234591	22235073	AL590556.1
chr1	22277172	22283364	AL590556.2
chr1	22303514	22325135	CELA3B
chr1	22305444	22305729	RN7SL421P
chr1	22310099	22357110	AL590556.3
chr1	22313974	22314268	RN7SL386P
chr1	22314309	22314412	RNU6-1022P
chr1	22328149	22339032	CELA3A
chr1	22330078	22330361	RN7SL768P
chr1	22337143	22337437	RN7SL186P
chr1	22337478	22337581	RNU6-776P
chr1	22350483	22352541	LINC01635
chr1	22351051	22357716	LINC00339
chr1	22352004	22427853	CDC42
chr1	22354810	22379420	AL031281.2
chr1	22357020	22357241	AL031281.3
chr1	22385690	22390692	CDC42-IT1
chr1	22394833	22395320	AL031281.1
